restaurant_name,city,area,rating,cost_for_two,cuisine,discount,book_table,walkin_available
The Grillax,Kochi,"Perumbavoor, Kochi",5.0,₹600 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Ceylon Bake House,Kochi,"Ernakulam South, Kochi",5.0,₹1000 for two,Indian,Flat 10% + 25% with Bank Offers,False,False
Ciao Cochin,Kochi,"Holiday Inn Cochin, Kochi",4.4,₹1500 for two,Italian,Flat 10% + 25% with Bank Offers,False,False
Nagas,Kochi,"Kakkanad, Kochi",4.0,₹1000 for two,"Andhra, Hyderabadi",Flat 25% + 25% with Bank Offers,False,False
Hoy Punjab,Kochi,"Edappally, Kochi",4.3,₹1300 for two,North Indian,Flat 25% + 25% with Bank Offers,False,False
Dindigul Thalappakatti,Kochi,"Kalamassery, Kochi",5.0,₹950 for two,Biryani,50% off,False,False
Kubaba Kuzhimandhi,Kochi,"Edappally, Kochi",4.3,₹900 for two,"Mandi, Arabian",25% Off :Payeazy,False,False
East India Street Café,Kochi,"Panampilly Nagar, Kochi",4.0,₹600 for two,Western,25% Off :Payeazy,False,False
Areena Bar,Kochi,"Olive Downtown, Kochi",4.0,₹1000 for two,Finger Food,Flat 10% + 25% with Bank Offers,False,False
Pandhal Cafe & Deli,Kochi,"Fort, Kochi",4.5,₹800 for two,Bakery,Flat 20% + 25% with Bank Offers,False,False
Cafe Moon By Sol Kitchen,Kochi,"Vyttila, Kochi",5.0,₹500 for two,Multicuisine,Free Beverages + 25% Off,False,False
The Oven,Kochi,"Durbar Hall Road, Ernakulam, Kochi",4.8,₹600 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Let's Dine Riverview,Kochi,"Kakkanad, Kochi",4.5,₹900 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Bektash,Kochi,Nettoor,4.3,₹400 for two,Arabian,25% Off :Payeazy,False,False
Aah,Kochi,The Postcard Mandalay Hall,4.0,₹1800 for two,Kerala,50% off,False,False
Noorjehan Multi-Cuisine Restaurant,Kochi,"Aluva, Kochi",4.6,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
Talk of the Town,Kochi,"Palarivattom, Kochi",4.0,₹550 for two,Multicuisine,25% Off :Payeazy,False,False
Chopstix Signature,Kochi,"Panampilly Nagar, Kochi",4.5,₹700 for two,"Thai, Chinese",Flat 15% + 25% with Bank Offers,False,False
Kannimango,Kochi,"Kadavanthra, Kochi",3.5,₹900 for two,Kerala,Flat 10% + 25% with Bank Offers,False,False
Al Taza,Kochi,"Edappally, Kochi",4.7,₹400 for two,Lebanese,Flat 25% + 25% with Bank Offers,False,False
Pavillion Restaurant By Abad Fort,Kochi,"Hotel Abad Fort, Kochi",4.0,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
The Muze - The rooftop pool bar by Port Muziris,Kochi,"Port Muziris, a Tribute Portfolio Hotel, Kochi",4.0,₹1500 for two,"Finger Food, Cocktail Menu",Flat 15% + 25% with Bank Offers,False,False
Spice It,Kochi,"ibis Kochi City Centre, Kochi",3.7,₹2478 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Aqua,Bhubaneswar,"Hotel Swosti, Bhubaneswar",4.7,₹1200 for two,"North Indian, Seafood, Continental",50% off,False,False
Terra Rosso,Bhubaneswar,"Kharvela Nagar, Bhubaneswar",5.0,₹1100 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
BOCCA CAFE,Bhubaneswar,"Kharvela Nagar, Bhubaneswar",4.5,₹600 for two,"Beverages, Cafe, Coffee and Tea",25% Off :Payeazy,False,False
Wow! Momo,Bhubaneswar,"Master Canteen Area, Bhubaneswar",4.7,₹400 for two,Momos,25% Off :Payeazy,False,False
Oceana,Bhubaneswar,"Hotel Swosti, Bhubaneswar",3.0,₹1200 for two,"Chinese, Finger Food, North Indian",Flat 15% + 25% with Bank Offers,False,False
Brown n Cream,Bhubaneswar,"Hotel Swosti, Bhubaneswar",5.0,₹400 for two,Bakery,Flat 10% + 25% with Bank Offers,False,False
Galleria,Bhubaneswar,"Hotel Swosti, Bhubaneswar",4.0,₹1600 for two,Multicuisine,25% Off :Payeazy,False,False
Cafe Sundowner,Bhubaneswar,"Laxmisagar, Bhubaneswar",4.0,₹800 for two,Multicuisine,25% Off :Payeazy,False,False
Xcuse Bar,Bhubaneswar,"Mango Hotels–Prangan, Bhubaneswar",3.9,₹1800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Beyrut Classy Dine,Bhubaneswar,"Kharvela Nagar, Bhubaneswar",4.6,₹800 for two,Lebanese,50% off,False,False
Narula's Restaurant,Bhubaneswar,"Hotel Basera,Ashok Nagar,Bhubaneswar",5.0,₹800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Bar Bliss,Bhubaneswar,"The Adventure Luxury Hotels, Bhubaneswar",5.0,₹1700 for two,"North Indian, Cocktail Menu, Desserts",Flat 15% + 25% with Bank Offers,False,False
Green garden,Bhubaneswar,"The Adventure Luxury Hotels, Bhubaneswar",5.0,₹1600 for two,"Cocktail Menu, Multicuisine",Flat 20% + 25% with Bank Offers,False,False
Curry Bowl,Bhubaneswar,"The Adventure Luxury Hotels, Bhubaneswar",4.0,₹1800 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Pulp Cafe,Bhubaneswar,"Hotel Orange, Laxmisagar",4.0,₹1300 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Enigma - The Club Culture (HHI),Bhubaneswar,"Janpath Road, Bhubaneswar",4.0,₹1500 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Sip & Bite Restaurant,Bhubaneswar,"Hotel Miland Palace, Bhubaneswar",4.0,₹1000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Chili's Grill & Bar,Bhubaneswar,"Rasulgarh, Bhubaneswar",4.6,₹1200 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Punjab Grill,Bhubaneswar,"Esplanade One Mall, Rasulgarh",4.5,₹1100 for two,North Indian,50% off,False,False
Adda Unplugged,Bhubaneswar,"Satya Nagar, Bhubaneswar",4.0,₹900 for two,Cafe,Flat 20% + 25% with Bank Offers,False,False
Mad Over Brownie,Bhubaneswar,"Kharvela Nagar, Bhubaneswar",4.0,₹600 for two,Cafe,Flat 20% + 25% with Bank Offers,False,False
Confetti,Bhubaneswar,"Hotel New Marrion, Bhubaneswar",4.0,₹500 for two,Bakery,25% Off :Payeazy,False,False
Narula's Bakery,Bhubaneswar,"Hotel Basera,Ashok Nagar,Bhubaneswar",4.0,₹400 for two,Bakery,25% Off :Payeazy,False,False
Raasta,Bhubaneswar,"Laxmisagar, Bhubaneswar",3.5,₹1500 for two,Multicuisine,25% Off :Payeazy,False,False
Escalate Club & Lounge,Bhubaneswar,"Hotel Sun Green, Bhubaneswar",5.0,₹2100 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Saami,Bhubaneswar,"Madhusudan Nagar, Bhubaneswar",4.1,₹1600 for two,Multicuisine,Flat 40% + 25% with Bank Offers,False,False
Silver Streak Premium,Bhubaneswar,"Shaheed Nagar, Bhubaneswar",4.9,₹1200 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Dil-E-Mughlai,Bhubaneswar,"Khandagiri, Bhubaneswar",4.4,₹800 for two,"Chinese, Mughlai, North Indian",50% off,False,False
STARLIT - LOUNGE BAR & RESTAURANT,Bhubaneswar,"Satya Nagar, Bhubaneswar",5.0,₹1000 for two,Cocktail Menu,Flat 20% + 25% with Bank Offers,False,False
VOX POP 2.0,Bhubaneswar,"Shaheed Nagar, Bhubaneswar",4.0,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
OOPRE - Kitchen & Bar,Bhubaneswar,"Chandrasekharpur, Bhubaneswar",3.0,₹1200 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Civilians,Bhubaneswar,"Satya Nagar, Bhubaneswar",4.3,₹1000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Dyaus Court,Bhubaneswar,"Infocity Avenue, Bhubaneswar",4.0,₹900 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
KEGS AND BARRELS BREWING CO.,Bhubaneswar,"Patia, Bhubaneswar",4.0,₹1500 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
9th Street,Bhubaneswar,"UNIT- 9, Bhubaneswar",4.5,₹700 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Aawhan Restaurant,Bhubaneswar,"Laxmisagar, Bhubaneswar",2.0,₹800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
#BBi Booze Buzz Inhouse,Bhubaneswar,"Chandrasekharpur, Bhubaneswar",4.6,₹1200 for two,Multicuisine,50% off,False,False
CAFE 16,Bhubaneswar,"Satya Nagar, Bhubaneswar",4.7,₹800 for two,Cafe,Flat 20% + 25% with Bank Offers,False,False
Sweet Basil,Bhubaneswar,"Lyfe Hotel, Bhubaneswar",4.3,₹1800 for two,Pan Asian,25% Off :Payeazy,False,False
Aqua Bar & Pool Lounge,Bhubaneswar,"Satya Nagar, Bhubaneswar",5.0,₹1200 for two,Multicuisine,25% Off :Payeazy,False,False
Blinkk,Bhubaneswar,"Patia, Bhubaneswar",4.0,₹800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Adda Cafe,Bhubaneswar,"Khandagiri, Bhubaneswar",4.7,₹900 for two,Cafe,Flat 10% + 25% with Bank Offers,False,False
Lyfe Kitchen,Bhubaneswar,"Lyfe Hotel, Bhubaneswar",3.9,₹1600 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Mojo Bar,Bhubaneswar,"Lyfe Hotel, Bhubaneswar",4.0,₹1800 for two,Cocktail Menu,25% Off :Payeazy,False,False
Slounge,Bhubaneswar,"Lemon Tree Premier, Bhubaneswar",4.8,₹2500 for two,"Finger Food, Cocktail Menu",25% Off :Payeazy,False,False
Zero Degrees,Coimbatore,"Gokulam Park, Coimbatore",4.0,₹1400 for two,Casual Eclectic,50% off,False,False
24x7 Bytes,Coimbatore,"Gokulam Park, Coimbatore",4.0,₹1200 for two,Multicuisine,Flat 35% + 25% with Bank Offers,False,False
Hyyper Permit Room Bar,Coimbatore,"Hotel Kiscol Grands, Coimbatore",4.0,₹1000 for two,"Finger Food, Cocktail Menu",Flat 20% + 25% with Bank Offers,False,False
Sazz Kitchen And Lounge,Coimbatore,"Ukkadam, Coimbatore",4.2,₹800 for two,Mexican,Extra 200 EazyPoints + 25% Off,False,False
Warehouse Bar & Kitchen,Coimbatore,"Kalapatti, Coimbatore",4.3,₹1200 for two,Multicuisine,25% Off :Payeazy,False,False
Neydhal The Coast,Coimbatore,"Avinashi Road, Coimbatore",4.0,₹1000 for two,"Seafood, South Indian",Flat 10% + 25% with Bank Offers,False,False
The living Room,Coimbatore,"Peelamedu, Coimbatore",4.4,₹1200 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Little Soi,Coimbatore,"Pudur, Coimbatore",4.7,₹900 for two,Pan Asian,Flat 10% + 25% with Bank Offers,False,False
Ammani Mess,Coimbatore,"Avinashi Road, Coimbatore",4.0,₹1200 for two,Multicuisine,25% Off :Payeazy,False,False
Cream Centre  - Vegetarian Legacy Since 1958,Coimbatore,"Race Course, Coimbatore",4.8,₹1000 for two,Multicuisine,50% off,False,False
Barbeque Nation,Coimbatore,Coimbatore,4.7,₹2000 for two,"Multicuisine, Barbeque",Free Beverages + 25% Off,False,False
China Valley,Coimbatore,"Sungam, Coimbatore",4.0,₹800 for two,Chinese,25% Off :Payeazy,False,False
Ninhao Chinese Restaurant,Coimbatore,"Saibaba Colony, Coimbatore",4.5,₹800 for two,"Chinese, Fast Food",Flat 15% + 25% with Bank Offers,False,False
AB's - Absolute Barbecues,Coimbatore,Coimbatore,4.3,₹1850 for two,"Multicuisine, Barbeque",Flat 15% + 25% with Bank Offers,False,False
On The Rocks Restobar,Coimbatore,"Vilankurichi, Coimbatore",5.0,₹950 for two,"Finger Food, Cocktail Menu",25% Off :Payeazy,False,False
Rasanai,Coimbatore,"Pappanaickenpalayam, Coimbatore",4.5,₹800 for two,South Indian,Flat 20% + 25% with Bank Offers,False,False
Lord of The Drinks,Coimbatore,"Peelamedu, Coimbatore",3.9,₹1500 for two,Multicuisine,25% Off :Payeazy,False,False
The Crimson by Broadway,Coimbatore,"Indira Nagar, Coimbatore, Coimbatore",5.0,₹1000 for two,"Italian, South Indian",Flat 10% + 25% with Bank Offers,False,False
Chives,Coimbatore,"Siddhapudur, Coimbatore",4.9,₹1000 for two,Multicuisine,50% off,False,False
The Great Kebab Factory,Coimbatore,"Peelamedu, Coimbatore",4.0,₹1500 for two,Indian,25% Off :Payeazy,False,False
Spice It,Coimbatore,"Ibis Coimbatore City Centre, Coimbatore",3.5,₹950 for two,"Cocktail Menu, Multicuisine",Flat 20% + 25% with Bank Offers,False,False
Beyond The Stories Bistro & Bar,Coimbatore,"Saibaba Colony, Coimbatore",4.3,₹1500 for two,"Finger Food, Cocktail Menu",Flat 50% + 25% with Bank Offers,False,False
Tapriwala - The Contemporary Tea Cafe,Coimbatore,"Saibaba Colony, Coimbatore",4.5,₹400 for two,"Fast Food, Multicuisine",Flat 10% + 25% with Bank Offers,False,False
Seasons,Coimbatore,Radisson Blu Coimbatore,4.1,₹2000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Hide in Heaven,Coimbatore,"Saravanampatti, Coimbatore",4.6,₹1500 for two,"Finger Food, Cocktail Menu",Flat 20% + 25% with Bank Offers,False,False
Wah Wah,Coimbatore,"Saibaba Colony, Coimbatore",5.0,₹1000 for two,Asian,Flat 25% + 25% with Bank Offers,False,False
MUFASA COIMBATORE,Coimbatore,"Avinashi Road, Coimbatore",4.1,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
The bermuda- A Cocktail Commune,Coimbatore,"R.S. Puram, Coimbatore",4.0,₹1200 for two,Indian,50% off,False,False
Vap Club,Coimbatore,"Pappanaickenpalayam, Coimbatore",4.0,₹1200 for two,"Finger Food, Cocktail Menu",Flat 25% + 25% with Bank Offers,False,False
Latest Recipe,Coimbatore,Le Méridien Coimbatore,4.1,₹2000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Big Ben Bar,Coimbatore,"Gandhipuram, Coimbatore",4.0,₹1000 for two,Indian,Flat 15% + 25% with Bank Offers,False,False
Welcomcafe Kovai,Coimbatore,"Welcomhotel By ITC Hotels, Coimbatore",4.5,₹2200 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Eat Alley Cafe,Coimbatore,"Saibaba Colony, Coimbatore",4.7,₹500 for two,"Italian, Street Food",Flat 10% + 25% with Bank Offers,False,False
Harusaki Coffee,Coimbatore,"Peelamedu, Coimbatore",4.0,₹700 for two,"Beverages, Coffee",25% Off :Payeazy,False,False
Kaanchan Kitchen,Coimbatore,"R.S. Puram, Coimbatore",4.0,₹500 for two,Indian,25% Off :Payeazy,False,False
Kanakthara Restaurant,Coimbatore,"Ganapathy, Coimbatore",4.0,₹1000 for two,Indian,Flat 10% + 25% with Bank Offers,False,False
Nosh Up Cafe,Coimbatore,"Saibaba Colony, Coimbatore",4.0,₹400 for two,"Asian, Cafe, Continental",50% off,False,False
Ganga Cafe - Darza Resorts,Coimbatore,"Darza Luxury Resorts, Coimbatore",4.0,₹1500 for two,Indian,Flat 10% + 25% with Bank Offers,False,False
Cafe D,Coimbatore,"Windstone Residency, Peelamedu",4.0,₹500 for two,"Italian, Continental",Flat 10% + 25% with Bank Offers,False,False
Indchicoo,Coimbatore,"POPPYS TOWER, Coimbatore",4.4,₹800 for two,"Chinese, Indian, Continental",Flat 10% + 25% with Bank Offers,False,False
Woow Briyani,Coimbatore,"Ganapathy, Coimbatore",4.0,₹300 for two,Biryani,Flat 10% + 25% with Bank Offers,False,False
Dindigul Thalappakatti,Coimbatore,"Neelambur, Coimbatore",5.0,₹950 for two,Biryani,Flat 25% + 25% with Bank Offers,False,False
Liyaqat,Coimbatore,"Singanallur, Coimbatore",5.0,₹700 for two,Fast Food,25% Off :Payeazy,False,False
Longitude- Le Meridien,Coimbatore,Le Méridien Coimbatore,5.0,₹1200 for two,Cafe,25% Off :Payeazy,False,False
That's Y Food,Coimbatore,"R.S. Puram, Coimbatore",4.3,₹800 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Raasta,Ludhiana,"Model Town, Ludhiana",4.0,₹1400 for two,"Continental, Chinese, Italian",50% off,False,False
Aamrak,Ludhiana,"Pakhowal Road, Ludhiana",4.0,₹1000 for two,Multicuisine,Flat 35% + 25% with Bank Offers,False,False
Cafe Delish,Ludhiana,Radisson Blu Hotel Ludhiana,4.8,₹3000 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
.Peg Bar,Ludhiana,Radisson Blu Hotel Ludhiana,4.0,₹3000 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Under The Mango Tree,Ludhiana,"Civil Lines, Ludhiana",4.7,₹1600 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Barn Fox,Ludhiana,"Civil Lines, Ludhiana",5.0,₹2000 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
R Feastory,Ludhiana,Ludhiana,4.0,₹800 for two,"Italian, Indian",Flat 20% + 25% with Bank Offers,False,False
10 Dur’s Premium,Ludhiana,"Civil Lines, Ludhiana",4.0,₹1000 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
The Cat Caffe & Restaurant,Ludhiana,"Civil Lines, Ludhiana",4.0,₹1000 for two,Italian,Flat 10% + 25% with Bank Offers,False,False
The Coffee Bean & Tea Leaf,Ludhiana,"Pavilion Mall, Civil Lines",4.0,₹1000 for two,Coffee,50% off,False,False
Tokkyoi  Club & Lounge,Ludhiana,"Pavilion Mall, Civil Lines",3.4,₹1800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Cafe Culture,Ludhiana,"Civil Street, Ludhiana",4.0,₹1000 for two,"Italian, Mexican",Flat 15% + 25% with Bank Offers,False,False
PVR,Ludhiana,"Pavilion Mall, Civil Lines",4.0,₹500 for two,Fast Food,Flat 15% + 25% with Bank Offers,False,False
Hot Breads,Ludhiana,"Sarabha Nagar, Ludhiana",4.3,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
The Brew Estate,Ludhiana,Ludhiana,4.4,₹2000 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Belfrance Bakers & Chocolatiers Cafe,Ludhiana,"Sarabha Nagar, Ludhiana",4.7,₹1500 for two,Bakery,Flat 20% + 25% with Bank Offers,False,False
Barbeque Nation,Ludhiana,Ludhiana,4.6,₹1800 for two,"Multicuisine, Barbeque",Flat 25% + 25% with Bank Offers,False,False
Barista Coffee,Ludhiana,"Model Town, Ludhiana",4.0,₹400 for two,"Cafe, Coffee",25% Off :Payeazy,False,False
The Yellow Chilli,Ludhiana,"Sarabha Nagar, Ludhiana",4.5,₹1500 for two,Multicuisine,50% off,False,False
Over The Moon,Ludhiana,The Palm Court,4.0,₹1500 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Club Aqua,Ludhiana,"Canal Road, Ludhiana",5.0,₹1000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Xero Courtyard,Ludhiana,"Aggar Nagar, Ludhiana",4.0,₹800 for two,Multicuisine,Flat 40% + 25% with Bank Offers,False,False
Khadak Singh Da Dhaba,Ludhiana,"Gurdev Nagar, Ludhiana",4.9,₹1000 for two,North Indian,Flat 40% + 25% with Bank Offers,False,False
Pirates of Grill,Ludhiana,"Ferozepur Road, Ludhiana",4.5,₹1800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
House of SWAT,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
The Imperial Courtyard,Ludhiana,"Ferozepur Road, Ludhiana",4.0,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Kultura,Ludhiana,"Gurdev Nagar, Ludhiana",4.0,₹2000 for two,"Cocktail Menu, Multicuisine",Flat 10% + 25% with Bank Offers,False,False
The Bear House Cafe & Bar,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,₹1200 for two,Multicuisine,50% off,False,False
Punjab Grill,Ludhiana,"Aggar Nagar, Ludhiana",3.7,₹1200 for two,North Indian,Flat 20% + 25% with Bank Offers,False,False
Grill House,Ludhiana,"Silver Arc Mall, Gurdev Nagar",4.0,₹1400 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Suto Cafe Prime,Ludhiana,"Model Town, Ludhiana",4.0,₹500 for two,Continental,Flat 15% + 25% with Bank Offers,False,False
Gautam's-O-Dine,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,₹1000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Orient Blade,Ludhiana,Park Plaza Ludhiana,3.0,₹2000 for two,oriental,Flat 10% + 25% with Bank Offers,False,False
Akiba Cafe and Bistro,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,₹1000 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Barish Luxe,Ludhiana,"Model Town, Ludhiana",5.0,₹1100 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Punjabi Rasoi,Ludhiana,"Model Town, Ludhiana",4.0,₹800 for two,North Indian,Flat 20% + 25% with Bank Offers,False,False
Ruby By Imperial Hotel,Ludhiana,"Gurdev Nagar, Ludhiana",4.0,₹800 for two,Indian,50% off,False,False
Mad 4 Eat,Ludhiana,"Civil Lines, Ludhiana",4.0,₹1000 for two,Fast Food,Flat 50% + 25% with Bank Offers,False,False
PB 91,Ludhiana,Ludhiana,4.0,₹600 for two,Indian,Flat 50% + 25% with Bank Offers,False,False
Pindaura,Ludhiana,"Sarabha Nagar, Ludhiana",5.0,₹1000 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Tim Hortons,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,₹800 for two,Coffee,Flat 15% + 25% with Bank Offers,False,False
Hera Feri Fries,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,₹400 for two,Fast Food,Flat 15% + 25% with Bank Offers,False,False
Artisan Cafe,Ludhiana,"Gurdev Nagar, Ludhiana",4.0,₹500 for two,Cafe,Flat 15% + 25% with Bank Offers,False,False
Xero Degrees,Ludhiana,"Sarabha Nagar, Ludhiana",4.3,₹450 for two,"Multicuisine, American",Flat 15% + 25% with Bank Offers,False,False
Cakes & Coffee,Ludhiana,"Gurdev Nagar, Ludhiana",4.0,₹800 for two,"Bakery, Cafe",Flat 20% + 25% with Bank Offers,False,False
Zoi,Ranchi,"JD Hi Street Mall, Ranchi",4.5,₹1400 for two,Multicuisine,50% off,False,False
Thikana Bar and Restaurant,Ranchi,"Argora, Ranchi",3.9,₹1400 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Greeka Kitchen & Bar,Ranchi,"Kanke Rd, Ranchi",4.5,₹1250 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Hasty Tasty,Ranchi,"Purulia Rd, Ranchi",4.0,₹500 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Biryani By Kilo,Ranchi,"Kutchery Chowk, Ranchi",3.2,₹1200 for two,Biryani,Flat 25% + 25% with Bank Offers,False,False
VIRAASAT – Courtyard by Marriott,Ranchi,Courtyard Ranchi,4.2,₹3000 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Heaven - Lounge and Bar,Ranchi,"Argora, Ranchi",4.8,₹1300 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Oona The One,Ranchi,"Kadru, Ranchi",4.7,₹1200 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
LOOP - Gastropub,Ranchi,"Lalpur, Ranchi",2.8,₹1600 for two,Multicuisine,25% Off :Payeazy,False,False
Dhunki,Ranchi,"Lalpur, Ranchi",4.6,₹1400 for two,"Multicuisine, Cocktail Menu",50% off,False,False
ZOCA Dine & Bar,Ranchi,"Lalpur, Ranchi",3.7,₹1000 for two,Multicuisine,Flat 40% + 25% with Bank Offers,False,False
Kairo Bar and Lounge,Ranchi,"East Jail Road, Ranchi",4.8,₹2400 for two,"Multicuisine, Cocktail Menu",Flat 20% + 25% with Bank Offers,False,False
Dishaayen,Ranchi,"Kanka, Ranchi",4.3,₹500 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Cafe Mysa,Ranchi,"Daud Nagar, Ranchi",4.7,₹850 for two,Multicuisine,25% Off :Payeazy,False,False
QUNIKE RESTRO & BAR,Ranchi,"Kutchery Chowk, Ranchi",4.5,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Studs Bar & Grill,Ranchi,"Sujata Chowk, Ranchi",4.0,₹1500 for two,Multicuisine,Flat 40% + 25% with Bank Offers,False,False
The Padosan,Ranchi,"Argora, Ranchi",5.0,₹600 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
ODR - On Da Rocks,Ranchi,"Gandhi Nagar, Ranchi, Ranchi",3.0,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
The Sailors knot,Ranchi,"Doranda, Ranchi",4.6,₹800 for two,Multicuisine,50% off,False,False
Punjabi Kitchen,Ranchi,"Purulia Rd, Ranchi",3.3,₹600 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Kadhi Patta,Ranchi,"Kutchery Chowk, Ranchi",3.8,₹900 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Kasturi Restaurant & Cafe,Ranchi,"Harmu, Ranchi",4.0,₹700 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Levee Tavern,Ranchi,"Karamtoli Rd, Ranchi",4.5,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
LOTUS LEAF – Ramada by Wyndham,Ranchi,"Ramada by Wyndham, Ranchi",4.7,₹2000 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
The Rums Cafe,Ranchi,"Argora, Ranchi",3.8,₹900 for two,Cafe,Flat 25% + 25% with Bank Offers,False,False
Vedika,Ranchi,"Old Vidhan Sabha, Ranchi",4.0,₹800 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
Moontown Lounge & Bar,Ranchi,"Lalpur, Ranchi",4.0,₹800 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
OMG Cafe,Ranchi,"Lalpur, Ranchi",2.0,₹800 for two,Multicuisine,50% off,False,False
Niva kitchen A Little Pause,Ranchi,Delatoli,4.0,₹500 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Anardana,Ranchi,"Mahatma Gandhi Main Rd, Ranchi",4.1,₹1800 for two,Indian,Flat 30% + 25% with Bank Offers,False,False
cuku cafe and bakehaus,Ranchi,"Lalpur, Ranchi",4.0,₹500 for two,"Bakery, Cafe, Italian",25% Off :Payeazy,False,False
PA PA YA,Ranchi,Radisson Blu Hotel Ranchi,4.6,₹2500 for two,Pan Asian,Free Dessert + 25% Off,False,False
The Lemon,Ranchi,"Morabadi, Ranchi",4.0,₹500 for two,Multicuisine,Flat 35% + 25% with Bank Offers,False,False
Crown 7,Ranchi,"Hawai Nagar, Ranchi",3.8,₹800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Dusk,Ranchi,"Lalpur, Ranchi",5.0,₹1600 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Mocha Cafe & Bar,Ranchi,"Lalpur, Ranchi",4.3,₹1500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
