restaurant_name,city,area,rating,cost_for_two_in_rupees,cuisine,discount,book_table,walkin_available
Pirates of Grill,Ludhiana,"Ferozepur Road, Ludhiana",4.5,1800.0,Multicuisine,10,False,False
House of SWAT,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,1000.0,Multicuisine,25,False,False
The Imperial Courtyard,Ludhiana,"Ferozepur Road, Ludhiana",4.0,1000.0,Multicuisine,10,False,False
Kultura,Ludhiana,"Gurdev Nagar, Ludhiana",4.0,2000.0,"Cocktail Menu, Multicuisine",10,False,False
The Bear House Cafe & Bar,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,1200.0,Multicuisine,50,False,False
Punjab Grill,Ludhiana,"Aggar Nagar, Ludhiana",3.7,1200.0,North Indian,20,False,False
Grill House,Ludhiana,"Silver Arc Mall, Gurdev Nagar",4.0,1400.0,Multicuisine,30,False,False
Suto Cafe Prime,Ludhiana,"Model Town, Ludhiana",4.0,500.0,Continental,15,False,False
Gautam's-O-Dine,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,1000.0,Multicuisine,20,False,False
Orient Blade,Ludhiana,Park Plaza Ludhiana,3.0,2000.0,oriental,10,False,False
Akiba Cafe and Bistro,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,1000.0,Multicuisine,25,False,False
Barish Luxe,Ludhiana,"Model Town, Ludhiana",5.0,1100.0,Multicuisine,20,False,False
Punjabi Rasoi,Ludhiana,"Model Town, Ludhiana",4.0,800.0,North Indian,20,False,False
Ruby By Imperial Hotel,Ludhiana,"Gurdev Nagar, Ludhiana",4.0,800.0,Indian,50,False,False
Mad 4 Eat,Ludhiana,"Civil Lines, Ludhiana",4.0,1000.0,Fast Food,50,False,False
PB 91,Ludhiana,Ludhiana,4.0,600.0,Indian,50,False,False
Pindaura,Ludhiana,"Sarabha Nagar, Ludhiana",5.0,1000.0,Multicuisine,50,False,False
Tim Hortons,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,800.0,Coffee,15,False,False
Hera Feri Fries,Ludhiana,"Sarabha Nagar, Ludhiana",4.0,400.0,Fast Food,15,False,False
Artisan Cafe,Ludhiana,"Gurdev Nagar, Ludhiana",4.0,500.0,Cafe,15,False,False
Xero Degrees,Ludhiana,"Sarabha Nagar, Ludhiana",4.3,450.0,"Multicuisine, American",15,False,False
Cakes & Coffee,Ludhiana,"Gurdev Nagar, Ludhiana",4.0,800.0,"Bakery, Cafe",20,False,False
Zoi,Ranchi,"JD Hi Street Mall, Ranchi",4.5,1400.0,Multicuisine,50,False,False
Thikana Bar and Restaurant,Ranchi,"Argora, Ranchi",3.9,1400.0,Multicuisine,30,False,False
Greeka Kitchen & Bar,Ranchi,"Kanke Rd, Ranchi",4.5,1250.0,Multicuisine,20,False,False
Hasty Tasty,Ranchi,"Purulia Rd, Ranchi",4.0,500.0,Multicuisine,30,False,False
Biryani By Kilo,Ranchi,"Kutchery Chowk, Ranchi",3.2,1200.0,Biryani,25,False,False
VIRAASAT – Courtyard by Marriott,Ranchi,Courtyard Ranchi,4.2,3000.0,Multicuisine,25,False,False
Heaven - Lounge and Bar,Ranchi,"Argora, Ranchi",4.8,1300.0,Multicuisine,15,False,False
Oona The One,Ranchi,"Kadru, Ranchi",4.7,1200.0,Multicuisine,25,False,False
LOOP - Gastropub,Ranchi,"Lalpur, Ranchi",2.8,1600.0,Multicuisine,25,False,False
Dhunki,Ranchi,"Lalpur, Ranchi",4.6,1400.0,"Multicuisine, Cocktail Menu",50,False,False
ZOCA Dine & Bar,Ranchi,"Lalpur, Ranchi",3.7,1000.0,Multicuisine,40,False,False
Kairo Bar and Lounge,Ranchi,"East Jail Road, Ranchi",4.8,2400.0,"Multicuisine, Cocktail Menu",20,False,False
Dishaayen,Ranchi,"Kanka, Ranchi",4.3,500.0,Multicuisine,30,False,False
Cafe Mysa,Ranchi,"Daud Nagar, Ranchi",4.7,850.0,Multicuisine,25,False,False
QUNIKE RESTRO & BAR,Ranchi,"Kutchery Chowk, Ranchi",4.5,1000.0,Multicuisine,10,False,False
The Studs Bar & Grill,Ranchi,"Sujata Chowk, Ranchi",4.0,1500.0,Multicuisine,40,False,False
The Padosan,Ranchi,"Argora, Ranchi",5.0,600.0,Multicuisine,30,False,False
ODR - On Da Rocks,Ranchi,"Gandhi Nagar, Ranchi, Ranchi",3.0,1000.0,Multicuisine,10,False,False
The Sailors knot,Ranchi,"Doranda, Ranchi",4.6,800.0,Multicuisine,50,False,False
Punjabi Kitchen,Ranchi,"Purulia Rd, Ranchi",3.3,600.0,Multicuisine,20,False,False
Kadhi Patta,Ranchi,"Kutchery Chowk, Ranchi",3.8,900.0,Multicuisine,10,False,False
Kasturi Restaurant & Cafe,Ranchi,"Harmu, Ranchi",4.0,700.0,Multicuisine,20,False,False
Levee Tavern,Ranchi,"Karamtoli Rd, Ranchi",4.5,1000.0,Multicuisine,10,False,False
LOTUS LEAF – Ramada by Wyndham,Ranchi,"Ramada by Wyndham, Ranchi",4.7,2000.0,Multicuisine,20,False,False
The Rums Cafe,Ranchi,"Argora, Ranchi",3.8,900.0,Cafe,25,False,False
Vedika,Ranchi,"Old Vidhan Sabha, Ranchi",4.0,800.0,Multicuisine,20,False,False
Moontown Lounge & Bar,Ranchi,"Lalpur, Ranchi",4.0,800.0,Multicuisine,20,False,False
OMG Cafe,Ranchi,"Lalpur, Ranchi",2.0,800.0,Multicuisine,50,False,False
Niva kitchen A Little Pause,Ranchi,Delatoli,4.0,500.0,Multicuisine,15,False,False
Anardana,Ranchi,"Mahatma Gandhi Main Rd, Ranchi",4.1,1800.0,Indian,30,False,False
cuku cafe and bakehaus,Ranchi,"Lalpur, Ranchi",4.0,500.0,"Bakery, Cafe, Italian",25,False,False
PA PA YA,Ranchi,Radisson Blu Hotel Ranchi,4.6,2500.0,Pan Asian,25,False,False
The Lemon,Ranchi,"Morabadi, Ranchi",4.0,500.0,Multicuisine,35,False,False
Crown 7,Ranchi,"Hawai Nagar, Ranchi",3.8,800.0,Multicuisine,10,False,False
Dusk,Ranchi,"Lalpur, Ranchi",5.0,1600.0,Multicuisine,25,False,False
Mocha Cafe & Bar,Ranchi,"Lalpur, Ranchi",4.3,1500.0,Multicuisine,10,False,False
Aasman,Ranchi,"Hindpiri, Ranchi",5.0,1000.0,Multicuisine,50,False,False
Never The Less,Ranchi,"Harmu, Ranchi",4.1,900.0,Multicuisine,25,False,False
Ivora,Ranchi,"Lalpur, Ranchi",5.0,900.0,Multicuisine,15,False,False
Barbeque Nation,Ranchi,Ranchi,4.6,1800.0,"Barbeque, Multicuisine",10,False,False
Ansh,Ranchi,"Ahirtoli, Ranchi",3.5,900.0,Multicuisine,25,False,False
Flaves,Ranchi,"Dhurwa, Ranchi",3.8,600.0,Multicuisine,15,False,False
Little's Bistro,Ranchi,"Ashok Nagar,Ranchi",4.0,700.0,Multicuisine,10,False,False
Waterfront,Ranchi,Radisson Blu Hotel Ranchi,4.3,800.0,Multicuisine,10,False,False
Malhaari Food & Drinks,Ranchi,Ranchi,5.0,800.0,Multicuisine,35,False,False
Dindigul Thalappakatti,Thiruvananthapuram,"Pattom, Thiruvananthapuram",4.8,950.0,Biryani,50,False,False
Cofi Club,Thiruvananthapuram,"Kesavadasapuram, Thiruvananthapuram",4.5,600.0,"Beverages, Cafe",25,False,False
Atelier By Ambrosia,Thiruvananthapuram,"Pattom, Thiruvananthapuram",4.1,1000.0,"Chinese, European",15,False,False
Cafe Boba Queen,Thiruvananthapuram,"Pattom, Thiruvananthapuram",5.0,400.0,"Beverages, Bubble Tea",10,False,False
Opal,Thiruvananthapuram,"The Ruby Arena, Thiruvananthapuram",4.0,900.0,Indian,25,False,False
Skyy Bar,Thiruvananthapuram,"Hotel Libra, Thiruvananthapuram",2.8,1700.0,Multicuisine,10,False,False
Tummy Tales,Thiruvananthapuram,"Pattom, Thiruvananthapuram",5.0,1050.0,European,10,False,False
Aasife Biryani,Thiruvananthapuram,"Kesavadasapuram, Thiruvananthapuram",3.0,700.0,Biryani,25,False,False
Bab Arabia,Thiruvananthapuram,"Marappalam, Thiruvananthapuram",4.5,800.0,Arabian,25,False,False
Shawarmashi Hamra Mandhi,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",5.0,400.0,Arabian,50,False,False
Oriental Spice,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",4.0,500.0,Multicuisine,10,False,False
La Forno Cafe,Thiruvananthapuram,"Ambalamukku, Thiruvananthapuram",4.7,700.0,"Beverages, Cafe",25,False,False
Cafe Mojo,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",3.8,900.0,"Thai, Continental",25,False,False
Hoy Punjab,Thiruvananthapuram,"Venpalavattom, Thiruvananthapuram",4.5,1400.0,"Indian, North Indian",25,False,False
The Garden Grille & Bar,Thiruvananthapuram,"Hilton Garden Inn, Thiruvananthapuram",4.1,2000.0,Multicuisine,25,False,False
Tangerine Restocafe,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",5.0,500.0,Continental,1,False,False
Baker's Arch - A Garden Cafe,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",4.9,1000.0,Continental,25,False,False
Beijing Bites,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",3.7,450.0,"Thai, Chinese, Malaysian",25,False,False
Huddles Cafe,Thiruvananthapuram,"Nandavanam, Thiruvananthapuram",5.0,700.0,Continental,50,False,False
O Cafe,Thiruvananthapuram,O By Tamara Trivandrum,5.0,1000.0,Multicuisine,25,False,False
Le Lumiere,Thiruvananthapuram,"Kunnukuzhy, Thiruvananthapuram",4.2,550.0,Multicuisine,15,False,False
Bao Tao - The Boba Bar,Thiruvananthapuram,"Ambalamukku, Thiruvananthapuram",5.0,600.0,Fast Food,25,False,False
Al Taza,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",4.0,800.0,Shawarma,10,False,False
Regency,Thiruvananthapuram,"The South Park, Thiruvananthapuram",5.0,1100.0,Multicuisine,25,False,False
The Skyye Grill,Thiruvananthapuram,"The South Park, Thiruvananthapuram",4.0,2000.0,"Cocktail Menu, Multicuisine",20,False,False
Fried Nation,Thiruvananthapuram,"Ambalamukku, Thiruvananthapuram",5.0,600.0,"American, Italian",25,False,False
Falooda Nation,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",1.0,400.0,"Desserts, Beverages",15,False,False
Oakwood The Pub,Thiruvananthapuram,"The South Park, Thiruvananthapuram",3.0,2500.0,"Multicuisine, Cocktail Menu",50,False,False
Grill to Chill,Thiruvananthapuram,"Vivin Luxury Suites, Thiruvananthapuram",5.0,1000.0,"Chinese, North Indian",20,False,False
Keys Café,Thiruvananthapuram,Keys Select By Lemon Tree Hotels - Thiruvananthapuram,4.0,1500.0,"Indian, Asian, Continental",25,False,False
Wrap A Loop,Thiruvananthapuram,"Pattom, Thiruvananthapuram",5.0,400.0,Middle Eastern,25,False,False
Rasoi By Ruchi,Thiruvananthapuram,"Itsy Hotels Adrak, Thiruvananthapuram",5.0,400.0,Multicuisine,25,False,False
Namma Veedu Vasanta Bhavan,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",4.3,400.0,South Indian,25,False,False
De Paris Grills,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",4.0,400.0,Indian,25,False,False
On The Rocks Executive Bar,Thiruvananthapuram,"Biverah Hotel And Suites, Thiruvananthapuram",4.0,800.0,Multicuisine,25,False,False
Bamboos Multicusine Restaurant,Thiruvananthapuram,"Windsor Rajadhani, Thiruvananthapuram",4.0,800.0,Multicuisine,25,False,False
The Edge Cocktail Lounge,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",4.0,1500.0,"Finger Food, Cocktail Menu",50,False,False
Le Capital,Thiruvananthapuram,"Palayam, Thiruvananthapuram",4.0,500.0,Multicuisine,25,False,False
Diners' Summit - Multi Cuisine Restaurant,Thiruvananthapuram,"Biverah Hotel And Suites, Thiruvananthapuram",4.0,1000.0,Multicuisine,25,False,False
Palace View Rooftop Restaurant,Thiruvananthapuram,"Windsor Rajadhani, Thiruvananthapuram",4.0,1000.0,Multicuisine,25,False,False
Villa Maya,Thiruvananthapuram,"Vallakkadavu, Thiruvananthapuram",4.8,2500.0,Multicuisine,25,False,False
V BAR,Thiruvananthapuram,"Hilton Garden Inn, Thiruvananthapuram",4.7,2500.0,Multicuisine,25,False,False
Restaurant Chef Pillai,Thiruvananthapuram,"Vallakkadavu, Thiruvananthapuram",3.5,800.0,Multicuisine,25,False,False
Barbeque Nation,Thiruvananthapuram,"LuLu Mall, Thiruvananthapuram",4.6,2000.0,"Multicuisine, Barbeque",25,False,False
Ambrosia- The Classic Bakehouse,Thiruvananthapuram,"Palayam, Thiruvananthapuram",4.0,600.0,"Bakery, Chinese, Italian",25,False,False
Suaa Club & Restro,Nagpur,"Sadar, Nagpur",4.0,1400.0,Multicuisine,50,False,False
Brickhaus,Nagpur,"Civil Lines, Nagpur",4.0,1200.0,Continental,50,False,False
The Beer Café,Nagpur,"Gokulpeth, Nagpur",4.8,800.0,"Cocktail Menu, Multicuisine",25,False,False
Momentt,Nagpur,"ENRISE by Sayaji, Bajaj Nagar",4.0,1400.0,Multicuisine,50,False,False
Tokii : Treasury of Asian Cuisine,Nagpur,"Trimurtee Nagar, Nagpur",4.3,1600.0,Pan Asian,15,False,False
Yamazaki Pan Asian Cuisine,Nagpur,"Bajaj Nagar, Nagpur",4.0,1100.0,Pan Asian,25,False,False
The Opera House,Nagpur,"Sitabuldi, Nagpur",5.0,1200.0,Multicuisine,25,False,False
Barbeque Nation,Nagpur,Nagpur,4.7,1900.0,"Multicuisine, Barbeque",30,False,False
Bella brew,Nagpur,"Gorepeth, Nagpur",3.8,800.0,Multicuisine,25,False,False
Naivedhyam Restaurant,Nagpur,"Sitabuldi, Nagpur",4.1,1200.0,Multicuisine,50,False,False
Side Walk,Nagpur,"Hotel Hardeo, Nagpur",5.0,1400.0,European,25,False,False
Kalpataru,Nagpur,"Hotel Hardeo, Nagpur",5.0,1400.0,Indian,35,False,False
Veerji Malai Chaap Wale,Nagpur,"Sitabuldi, Nagpur",4.0,400.0,North Indian,20,False,False
AB's - Absolute Barbecues,Nagpur,Nagpur,4.5,1850.0,"Multicuisine, Barbeque",10,False,False
Little Italy,Nagpur,"Civil Lines, Nagpur",4.1,1400.0,"Mexican, Italian",25,False,False
Tattwam,Nagpur,"Ramdaspeth, Nagpur",4.5,1000.0,Indian,15,False,False
East India Company,Nagpur,"Civil Lines, Nagpur",4.5,1200.0,Multicuisine,30,False,False
Warehouse Cafe,Nagpur,"Rambagh Layout, Nagpur",5.0,1500.0,Multicuisine,15,False,False
High Steaks,Nagpur,"Hotel Centre Point, Nagpur",3.7,2200.0,European,50,False,False
Pablo,Nagpur,"Civil Lines, Nagpur",5.0,1600.0,Italian,10,False,False
Hitchki,Nagpur,"Chaoni, Nagpur",3.3,2000.0,Modern Indian,25,False,False
BellaVista Cafe & Skybar,Nagpur,"Civil Lines, Nagpur",5.0,1500.0,"Cocktail Menu, Multicuisine",25,False,False
Yello - Restaurant & Bar,Nagpur,"Civil Lines, Nagpur",3.5,1200.0,"Cocktail Menu, Multicuisine",10,False,False
Tipsy Turk,Nagpur,"Sadar, Nagpur",3.7,3000.0,Multicuisine,25,False,False
Tao - The Asian Kitchen,Nagpur,"Civil Lines, Nagpur",4.0,1900.0,Pan Asian,15,False,False
Agent Jack's Bar,Nagpur,"Rambagh Layout, Nagpur",5.0,1800.0,"Finger Food, Cocktail Menu",10,False,False
Tds Restro Lounge,Nagpur,"Ramdaspeth, Nagpur",1.0,1800.0,"European, oriental",15,False,False
Uttar Dakshin,Nagpur,"Dhantoli, Nagpur",4.7,1000.0,South Indian,50,False,False
Durva Restaurant,Nagpur,"Dhantoli, Nagpur",5.0,800.0,Multicuisine,25,False,False
Masato,Nagpur,"Civil Lines, Nagpur",4.0,1500.0,"Chinese, Pan Asian",10,False,False
Ark - Indian Kitchen,Nagpur,"Civil Lines, Nagpur",4.0,1600.0,Indian,20,False,False
The H Cafe,Nagpur,"Gorepeth, Nagpur",4.0,800.0,European,10,False,False
Cafe De Sana,Nagpur,"Chaoni, Nagpur",4.0,500.0,Italian,10,False,False
COSO Cocktails & Socials,Nagpur,"Mohan Nagar, Nagpur",4.0,2500.0,Multicuisine,30,False,False
Uptown501 Cafe-lounge,Nagpur,"Dharampeth, Nagpur",4.0,1500.0,Multicuisine,25,False,False
Kiana- The Fine-Dine Restaurant,Nagpur,"Sadar, Nagpur",3.0,1000.0,"Chinese, Indian",20,False,False
Meeting Points,Nagpur,"Hotel Centre Point, Nagpur",5.0,2200.0,Multicuisine,50,False,False
Idli Express,Nagpur,"Bajaj Nagar, Nagpur",4.0,400.0,South Indian,10,False,False
Moksh - The Restrolounge,Nagpur,"Sitabuldi, Nagpur",4.0,1000.0,Multicuisine,10,False,False
Salt - All Day Brew,Nagpur,"Civil Lines, Nagpur",3.7,1000.0,Multicuisine,30,False,False
Three Beans Coffee Bar,Nagpur,"Dharampeth, Nagpur",4.0,600.0,Multicuisine,20,False,False
TOS (The Other Side),Nagpur,"Sadar, Nagpur",4.0,1350.0,Indian,15,False,False
Liberty Family Restaurant,Nagpur,"Sadar, Nagpur",4.0,1100.0,"Chinese, Indian",15,False,False
Mishree,Nagpur,"Mohan Nagar, Nagpur",4.0,1000.0,Multicuisine,15,False,False
Freakk De Bistro,Nagpur,"Hotel Centre Point, Nagpur",4.0,2200.0,"Finger Food, Cocktail Menu",15,False,False
Ali Baba 40 Golden Dishes,Madurai,"Hotel President, Madurai",3.0,500.0,Multicuisine,50,False,False
Moskva,Madurai,"Moskva Hotel, Madurai",5.0,600.0,Multicuisine,10,False,False
Bocs Pizza,Madurai,"KK Nagar, Madurai",4.7,600.0,Fast Food,25,False,False
Blind Ch3mistry,Madurai,"Bypass Road, Madurai",4.4,1200.0,Multicuisine,10,False,False
Orchid,Madurai,"Fortune Pandiyan Hotel, Madurai",4.4,1600.0,Multicuisine,10,False,False
Bistro 978,Madurai,"Tallakulam, Madurai",5.0,700.0,"Italian, Continental",10,False,False
Barbeque Nation,Madurai,"Ganesh Nagar, Madurai",4.0,2000.0,"North Indian, Barbeque",25,False,False
The Chopstix,Madurai,"KK Nagar, Madurai",2.5,700.0,Multicuisine,25,False,False
The Sandwich Club,Madurai,"Viswanathapuram, Madurai",4.6,350.0,Fast Food,10,False,False
Yaal,Madurai,"JC Residency, Madurai",4.3,1500.0,"Indian, Chinese",50,False,False
Rahman Biryani,Madurai,"KK Nagar, Madurai",4.0,700.0,Biryani,10,False,False
British Bakery Cafe,Madurai,"Narimedu, Madurai",4.0,400.0,Cafe,10,False,False
Aarathy Restaurant,Madurai,Madurai,4.0,300.0,Multicuisine,25,False,False
The Chocolate Room,Madurai,"KK Nagar, Madurai",5.0,600.0,"Beverages, Desserts",25,False,False
INOX,Madurai,Vishaal De Mall,3.7,500.0,Fast Food,10,False,False
Bazaar- All Day Diner,Madurai,"Grand Madurai by GRT Hotels, Madurai",4.0,1200.0,South Indian,15,False,False
Dindigul Thalappakatti,Madurai,"Kalavasal, Madurai",3.7,950.0,Biryani,25,False,False
Hotel Weshtern Park,Madurai,"Weshtern Park, Madurai",1.0,450.0,Indian,25,False,False
Phil's Bistro,Madurai,"KK Nagar, Madurai",5.0,1300.0,Continental,50,False,False
Marudheeswara,Madurai,"Kannanenthal, Madurai",4.0,1000.0,"Indian, Continental",10,False,False
Grand Ayyanaar,Madurai,"Sterling V Grand,Madurai",4.7,1000.0,Multicuisine,25,False,False
Aasife Biriyani,Madurai,"Swami Vivekananda Nagar, Madurai",5.0,840.0,Biryani,10,False,False
Ahaaram Restaurant,Madurai,Regency Madurai by GRT Hotels,3.2,1000.0,Multicuisine,25,False,False
Aibaik,Madurai,"Reserve Police Line, Madurai",5.0,800.0,Multicuisine,25,False,False
Upper Deck,Madurai,"Sterling V Grand,Madurai",3.0,1000.0,Multicuisine,15,False,False
Sharief Bhai Biryani,Madurai,"Anna Nagar, Madurai",3.5,700.0,Biryani,10,False,False
Cinnamon The Pastry Shop,Madurai,Madurai,4.0,800.0,"Cafe, Desserts",15,False,False
Slice,Madurai,"Grand Madurai by GRT Hotels, Madurai",4.0,1000.0,"Bakery, Cafe",50,False,False
Topi Vappa Biriyani,Madurai,"Melapanangadi, Madurai",4.0,600.0,Multicuisine,15,False,False
Waalai Aahar,Madurai,"Sathamangalam, Madurai",5.0,500.0,Multicuisine,10,False,False
Sterling Local Restobar,Madurai,"Sterling V Grand,Madurai",4.0,1600.0,Cocktail Menu,10,False,False
Studio 79,Madurai,"Grand Madurai by GRT Hotels, Madurai",5.0,1000.0,Multicuisine,10,False,False
Hunger Heist,Madurai,"Anna Nagar, Madurai",4.0,550.0,Cafe,25,False,False
Amsavalli Restaurant,Madurai,"LA VIVANTA HOTEL,MADURAI",1.0,1150.0,Multicuisine,25,False,False
isandy,Madurai,"Pasumalai, Madurai",5.0,600.0,"Fast Food, Cafe",25,False,False
Phil’s Bake House (Bakery & Cafe),Madurai,"Alagar Kovil Main Road, Madurai",5.0,400.0,Fast Food,25,False,False
Farmer's Bistro,Abu-Dhabi,"Al Mushrif, Abu Dhabi",4.0,100.0,Multicuisine,50,False,False
Punjab Grill,Abu-Dhabi,"The Ritz-Carlton Abu Dhabi, Grand Canal",4.9,325.0,Indian,20,False,False
India Palace,Abu-Dhabi,"Mazyad Mall, Mussafah Shabiya",4.0,180.0,Indian,25,False,False
Pincode By Kunal Kapur,Abu-Dhabi,The Galleria Al Maryah Island,4.0,200.0,Multicuisine,15,False,False
Mings Chamber,Abu-Dhabi,"Al Wahda Mall, Al Wahda",4.0,120.0,Asian,10,False,False
Peppermill,Abu-Dhabi,"Al Wahda Mall, Al Wahda",3.0,155.0,Indian,10,False,False
PizzaExpress,Abu-Dhabi,"Al Reem Island, Abu Dhabi",5.0,200.0,Italian,10,False,False
Bikanervala,Abu-Dhabi,Abu Dhabi,4.0,65.0,Street Food,25,False,False
Moksha,Abu-Dhabi,"Al Bateen, Abu Dhabi, Abu Dhabi",4.0,200.0,Indian,25,False,False
Pure punjabi,Abu-Dhabi,"Mushrif Mall, Abu Dhabi",4.0,80.0,Multicuisine,50,False,False
Via Delhi Restaurant,Abu-Dhabi,"Al Danah, Abu Dhabi",4.0,100.0,Indian,10,False,False
World of Asia,Abu-Dhabi,"Al Danah, Abu Dhabi",4.0,50.0,"Chinese, North Indian",25,False,False
49ers,Abu-Dhabi,Le Méridien Abu Dhabi,4.0,345.0,Multicuisine,25,False,False
Barbeque Nation,Abu-Dhabi,"Al Wahda Mall, Al Wahda",4.7,150.0,Indian,20,False,False
Ushna Comida Restaurant,Abu-Dhabi,The Souk Qaryat Al Beri,5.0,310.0,Indian,40,False,False
Thai Point Restaurant,Abu-Dhabi,Al Dhafrah,5.0,75.0,Thai,25,False,False
Thai Street Restaurant,Abu-Dhabi,"Al Markaziya, Abu Dhabi",1.0,50.0,Thai,20,False,False
Jehangirs’s  Al Ain,Abu-Dhabi,"Al Jimi Mall, Abu Dhabi",4.0,160.0,Indian,50,False,False
